Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
3596.28,184.81,39.59,-39.11
3600.44,184.59,39.59,-39.28
3604.1,184.46,39.59,-39.5
3607.68,184.52,39.59,-39.63
3610.79,184.61,39.65,-39.63
3614.55,184.7,39.74,-39.63
3619.04,184.7,39.83,-39.63
3624.2,184.64,39.83,-39.63
3629.24,184.8,39.83,-39.69
3633.8,184.95,39.99,-39.69
3637.85,185.09,40.14,-39.69
3641.63,185.22,40.28,-39.69
3645.23,185.34,40.41,-39.69
3648.78,185.49,40.53,-39.69
3652.31,185.65,40.68,-39.69
3655.74,185.83,40.84,-39.69
3659.48,186.02,41.02,-39.69
3663.58,186.24,41.21,-39.69
3667.69,186.45,41.43,-39.69
3671.93,186.67,41.64,-39.69
3675.61,186.87,41.86,-39.69
3678.72,187.04,42.06,-39.69
3681.93,187.22,42.23,-39.69
3685.58,187.42,42.41,-39.69
3689.33,187.63,42.61,-39.69
3692.64,187.81,42.82,-39.69
3696.43,187.99,43.0,-39.69
3699.82,188.16,43.18,-39.69
3704.07,188.41,43.35,-39.69
3708.18,188.52,43.6,-39.69
3711.95,188.62,43.71,-39.69
3716.39,188.75,43.81,-39.69
3720.64,188.87,43.94,-39.69
3724.28,188.91,44.06,-39.69
3727.57,188.91,44.1,-39.69
3731.5,188.96,44.1,-39.69
