Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
714.58,180.18,7.32,-11.5
719.24,180.03,7.32,-11.64
724.8,179.88,7.32,-11.79
730.6,179.73,7.32,-11.94
736.37,179.59,7.32,-12.09
742.17,179.48,7.32,-12.23
747.76,179.59,7.32,-12.34
753.36,179.72,7.43,-12.34
759.27,179.86,7.56,-12.34
762.33,179.93,7.7,-12.34
765.45,180.0,7.77,-12.34
768.56,180.07,7.84,-12.34
771.59,180.14,7.91,-12.34
777.21,180.26,7.98,-12.34
782.15,180.36,8.1,-12.34
786.88,180.46,8.2,-12.34
791.69,180.56,8.3,-12.34
796.65,180.65,8.4,-12.34
800.37,180.72,8.49,-12.34
804.29,180.65,8.56,-12.34
808.41,180.73,8.56,-12.41
814.35,180.78,8.64,-12.41
817.58,180.79,8.69,-12.41
820.95,180.79,8.7,-12.41
824.46,180.78,8.7,-12.41
828.14,180.77,8.7,-12.42
831.99,180.76,8.7,-12.43
835.96,180.74,8.7,-12.44
840.01,180.72,8.7,-12.46
844.02,180.65,8.7,-12.48
847.94,180.42,8.7,-12.55
851.64,180.22,8.7,-12.78
855.2,180.03,8.7,-12.98
858.61,179.86,8.7,-13.17
861.88,179.7,8.7,-13.34
864.99,179.56,8.7,-13.5
870.75,179.3,8.7,-13.64
875.97,179.08,8.7,-13.9
880.87,178.89,8.7,-14.12
885.64,178.73,8.7,-14.31
890.5,178.58,8.7,-14.47
895.55,178.45,8.7,-14.62
900.89,178.31,8.7,-14.75
906.62,178.16,8.7,-14.89
909.65,178.09,8.7,-15.04
912.73,178.02,8.7,-15.11
915.86,177.95,8.7,-15.18
919.01,177.89,8.7,-15.25
922.17,177.83,8.7,-15.31
925.3,177.78,8.7,-15.37
928.46,177.73,8.7,-15.42
931.65,177.65,8.7,-15.47
934.9,177.57,8.7,-15.55
938.12,177.49,8.7,-15.63
941.36,177.41,8.7,-15.71
944.59,177.34,8.7,-15.79
947.83,177.27,8.7,-15.86
951.04,177.2,8.7,-15.93
954.2,177.16,8.7,-16.0
957.25,177.23,8.7,-16.04
963.13,177.34,8.77,-16.04
968.66,177.43,8.88,-16.04
973.96,177.51,8.97,-16.04
979.23,177.58,9.05,-16.04
984.7,177.63,9.12,-16.04
990.34,177.68,9.17,-16.04
996.03,177.71,9.22,-16.04
1001.69,177.72,9.25,-16.04
1007.36,177.73,9.26,-16.04
1013.16,177.73,9.27,-16.04
1019.0,177.73,9.27,-16.04
1024.87,177.71,9.27,-16.04
1030.81,177.69,9.27,-16.06
1036.71,177.67,9.27,-16.08
1042.59,177.63,9.27,-16.1
1048.57,177.58,9.27,-16.14
1054.53,177.51,9.27,-16.19
1057.54,177.46,9.27,-16.26
1063.61,177.34,9.27,-16.31
1066.69,177.29,9.27,-16.43
1069.83,177.23,9.27,-16.48
1072.99,177.17,9.27,-16.54
1076.18,177.11,9.27,-16.6
1079.37,177.06,9.27,-16.66
1082.55,177.0,9.27,-16.71
1085.67,176.95,9.27,-16.77
1088.75,176.9,9.27,-16.82
1094.6,176.8,9.27,-16.87
1100.17,176.68,9.27,-16.97
1105.41,176.56,9.27,-17.09
1110.44,176.45,9.27,-17.21
1115.87,176.38,9.27,-17.32
1121.65,176.31,9.27,-17.39
1127.4,176.23,9.27,-17.46
1133.14,176.15,9.27,-17.54
1138.87,176.06,9.27,-17.62
1144.62,175.97,9.27,-17.71
1150.49,175.88,9.27,-17.8
1153.52,175.82,9.27,-17.89
1156.6,175.87,9.27,-17.95
1159.75,175.92,9.32,-17.95
1162.93,175.97,9.37,-17.95
1166.09,176.02,9.42,-17.95
1169.27,176.07,9.47,-17.95
1172.43,176.12,9.52,-17.95
1175.55,176.17,9.57,-17.95
1178.66,176.21,9.62,-17.95
1181.72,176.26,9.66,-17.95
1187.48,176.34,9.71,-17.95
1192.84,176.4,9.79,-17.95
1198.11,176.46,9.85,-17.95
1203.53,176.52,9.91,-17.95
1209.1,176.58,9.97,-17.95
1214.68,176.65,10.03,-17.95
1220.08,176.71,10.1,-17.95
1225.62,176.77,10.16,-17.95
1231.34,176.84,10.22,-17.95
1237.23,176.9,10.29,-17.95
1240.27,176.93,10.35,-17.95
1243.28,176.96,10.38,-17.95
1249.12,177.01,10.41,-17.95
1254.99,176.94,10.46,-17.95
1258.04,176.91,10.46,-18.02
1261.13,176.88,10.46,-18.05
1264.29,176.84,10.46,-18.08
1267.51,176.81,10.46,-18.12
1270.74,176.79,10.46,-18.15
1274.01,176.76,10.46,-18.17
1277.24,176.73,10.46,-18.2
1280.45,176.7,10.46,-18.23
